video_id,captions
G_23586,"['Several older foreigners are chatting', 'Five men in suits sitting on the sofa talking', 'The leaders of the US Congress are in session', 'The leaders of the US Congress are in session', 'Five people wearing blue clothes are sitting on the white sofa']"
G_23571,"['A person is shoveling the soil by the edge of a pit', 'Three men are surveying and recording', 'Staff conducting on-site inspections', 'Staff conducting on-site inspections', 'Two people wearing orange clothes and one wearing red clothes check the soil quality']"
G_23030,"['Some large industrial equipment is in operation', 'Many boxes are neatly arranged', 'Many containers are placed on the dock', 'Many orange machines are working at the seaside', 'There is a large container terminal']"
G_23167,"['A person is using a cannon to launch shells', 'Soldiers fire shells', 'Artillery firing shells', 'A cannon is constantly firing shells', 'A person is firing shells']"
G_23086,"['Waiting for patients in hospitals', ""Many people are waiting for the doctor's treatment"", 'People are waiting for medical treatment outside the hospital clinic', 'Many people are standing in front of a door', 'Many people are standing in line in front of the door']"
G_23149,"['Two women are comforting a girl', 'The police are communicating with the little girl and her parents', 'There are many people gathering on the street', 'Large crowds walking on the streets', 'People are shopping on the pedestrian street']"
G_23117,"['The buildings of the First Republic Bank', 'There are three gray, blue, and black cars parked at the bank entrance', 'There is a shop on the street', 'There is a bank by the street, which has a green entrance', 'Street view of the bank building during the day']"
G_23500,"['An airship is sailing in outer space', 'Two satellites connected together', 'Two spacecraft docking in space', 'Two spacecraft successfully docked', 'Spacecraft navigating in space']"
G_23009,"['A building appears in animated form', 'A long stick advancing in the pipeline', 'A blue pipe extends underground', 'Liquid is recycled in pipelines', 'Schematic diagram of the progress of the drill bit']"
G_23566,"['Spacecraft completed docking', 'There is a white circular spaceship in space', 'The spacecraft successfully launched into space', 'The spacecraft successfully launched into space', 'The white spacecraft is merging']"
G_23357,"['People are waiting for their flight at the train station', 'Two men put on orange vests for an old man', 'Two people dress an old man', 'Two firefighters are putting on a life jacket for an elderly person', 'Two firefighters dressed in red are dressing an old lady']"
G_23522,"['A pilot is piloting a plane', 'One person piloting an airplane in the air', 'A pilot is piloting an airplane', 'A pilot wearing a blue helmet is piloting an airplane', 'People wearing blue helmets piloting airplanes']"
G_23163,"['There are some buildings in a city', 'A train passed the platform', 'Various Scenarios of the City', 'The blue train is running', 'A train is running']"
G_23070,"[""A worker's work details and trophies"", 'A man is nailing a wall', 'A man decorated the wall panel', 'A man is drilling holes in the wall with a tool', 'A person holding a tool is driving nails into the wall']"
G_23229,"['A person wearing blue gloves is repairing a white machine', 'A person wearing white clothes is repairing a machine', 'Most executives believe that the United States will experience an economic recession', 'Goods in transit', 'Two people repairing under the car']"
G_23584,"['Two astronauts are inspecting the cargo', 'Two astronauts dressed in blue are walking between the cargo', 'Astronauts carrying cargo in aircraft', 'Astronauts carrying cargo in aircraft', 'The man in blue clothes floats in the white room']"
G_23131,"['The road conditions of some highways', 'A traffic police officer is directing traffic on the highway', 'Many cars are driving on highways', 'Many vehicles are driving on highways', 'Vehicles passing on highways']"
G_23367,"['A man is driving a nail', 'A man in red and a woman walking in the water', 'A person and woman dressed in red are advancing in waist deep water', 'A small car was almost submerged in the water', 'A silver sedan was almost submerged in the flood']"
G_23257,"['Two people discussing in the room', 'Monitoring shows a large number of tourists at the station', 'A man flipping through the files again', 'Two men sitting in chairs chatting', 'Two men are talking']"
G_23209,"['A large black computer', 'Both hands are typing', 'Secret Internet Access Project in the United States', 'The drill bit is advancing underground', 'Typewriting with one hand on the keyboard']"
G_23079,"['Congress and staff printing process', 'Money is printed from the machine', 'A man observes coins', 'A person is checking the newly printed banknotes', 'The connected banknotes are neatly produced']"
G_23402,"['Many buildings in the city stand tall in the dusk', 'Aerial View of the City', 'Several architectural and natural scenes', 'Artificial landscape and natural landscape', 'A large number of buildings are bathed in the sunlight']"
G_23244,"['A white frozen lake surface', 'There is a blue lake at the foot of the mountain', 'Spectacular Lake Ice Scenery', 'The night view of Yu Garden is beautiful', 'There are ice blocks on the lake surface, forming waves']"
G_23523,"['A plane is flying', 'Several planes took off one after another on the runway', 'Two planes refueling in the air', 'One aircraft supplies fuel to other aircraft', 'The plane took off from the runway']"
G_23083,"['Streets and Pedestrians in the United States', 'Some people are crossing the road', 'People come and go on the streets', 'Many people are crossing the road in front of a building', 'Many people are crossing the road']"
G_23158,"['The money counter is counting some bills', 'The machine is printing paper money', 'The scene of printing banknotes', 'A stack of banknotes is being checked', 'A machine is organizing banknotes']"
G_23075,"['How many hands and a counting machine are there', 'Someone is counting the banknotes', 'Handling cash in the bank', 'A person is checking money', 'A person is organizing paper currency']"
G_23228,"['A person in black is counting money in his hand', 'A man in blue is withdrawing money', 'Multiple experts hold a pessimistic attitude towards the US economy', 'Infrastructure under construction', 'A man is in front of the machine, and a person is counting money']"
G_23222,"['A group of people wearing black clothes are standing', 'A police officer is walking around the square', 'President of Ukraine orders the implementation of terrorist attacks', ""A woman is introducing Lijiang's dance"", 'Two men on stage, a group of people watching']"
G_23068,"['Awards and Jobs for a Worker', 'A man is checking objects', 'A man interacts with his own work', 'A man is sawing steel bars', 'A person wearing black clothes is touching a white sculpture']"
G_23559,"['Dense forests, birds on the water surface', 'The vegetation grows lush and the natural environment is beautiful', 'Beautiful community construction environment', 'Beautiful community construction environment', 'Drone aerial photography of natural green scenery in the new area']"
G_23063,"['Staff help tourists pass through the gate', 'Many people are passing through the gate', 'At the ticket checkpoint of the station, people queue up in order to check their tickets', 'Many people queue up to pass the gate', 'Many people lined up to pass the inspection']"
G_23398,"['People are racing motorcycles on the beach, and children are playing', 'A large car overturned an electric vehicle while turning right', 'Many cars are driving at intersections', 'A large truck collided with a nearby electric vehicle while turning right', 'A mud tank truck was loaded with a straight electric vehicle']"
G_23530,"['Two men are discussing things', 'Several soldiers are discussing matters', 'Several people wearing green clothes are having a meeting to discuss', 'Eight men sitting together talking', 'People wearing military uniforms are talking']"
G_23588,"['The banknote printing machine is printing foreign currency', 'There are many foreign banknotes on the conveyor belt', 'The printer is printing dollars', 'The printer is printing dollars', 'Green paper money is being printed']"
G_23539,"['Two men are using a computer to read blueprints', 'Several people are repairing the machine', 'Two men working in front of the computer', 'Eight screens in front of two men', 'Two people wearing white helmets researching instruments']"
G_23033,"['Several people are dragging the black cloth on the ground', 'Several people are organizing fishing nets', 'Some people are tidying up their fishing nets', 'Many people are organizing fishing nets', 'Several people are pulling fishing nets']"
